split,file,source_split,base_identity,sha256,width,height,boxes
val,biodegradable1055_jpg.rf.776c6232ca670f1b6dbd96048aaa61bc.jpg,train,biodegradable1055,afcad2722cbd3a380a74d632029b9e5f35f5a983af3b3aba23fc8dfcf9e58ec3,416,416,1
train,biodegradable1101_jpg.rf.af7708cfa03ebb947052a38f25cc79b5.jpg,train,biodegradable1101,575c0426a41b7ce755866d66ed2eac6b9fb6503f580b2d54dc846ae00631ad9e,416,416,1
train,biodegradable1128_jpg.rf.c6eb68cb3a9a3dfaef99dde40be02d38.jpg,train,biodegradable1128,4c2d41251df8ff759525107f507b3eb87b38c6448ba0f369b415e49d8f5f60e4,416,416,1
train,biodegradable1210_jpg.rf.1345dece925ab7ad3fa964eba6d09254.jpg,train,biodegradable1210,dc9a11fc22789df925e917ffb6129304ad205d221a2324363aeb9e82c27f89e1,416,416,11
val,biodegradable1226_jpg.rf.55230f0fd75804ffca224e5a55fee67f.jpg,train,biodegradable1226,e568aad05346e08229ad3a6d49275b2691f00821410ddf480645fbdf9c56f78a,416,416,1
train,biodegradable1257_jpg.rf.fdbe1d485f03453dd193bb4f37fa146d.jpg,train,biodegradable1257,c2a9bab4bd02e07af84128765631411c0683c831c5df986e8029f8bdfb0ae243,416,416,1
train,biodegradable1278_jpg.rf.94da0e52e888c9ca61bfb62bbf492887.jpg,train,biodegradable1278,7427cedcbd2acab40ffdb7466c4e77aded8118c49e9787ba075f49fc29fa6ac3,416,416,1
train,biodegradable1306_jpg.rf.023961552b04390b4821f6bf79caa6cd.jpg,train,biodegradable1306,628123a20df468abdb07b05e20eb87f81810f00b4e64a97e402cd0b9a82f0477,416,416,1
train,biodegradable1311_jpg.rf.78abe1d44e30d4824942ce18e9a4106b.jpg,train,biodegradable1311,2402860a4ae9c987d3c667211203ef11f694ecdaa5bef1313973a706828c79e1,416,416,1
val,biodegradable1354_jpg.rf.9b87634a17ad5e0d12206829582f16d9.jpg,train,biodegradable1354,249487aae0b6b3214941ac3c1eb99fbf07dc8e51d2dd178a4182def6e00548f9,416,416,6
train,biodegradable1401_jpg.rf.7c253c88e898d68a08565a62a10d3ea5.jpg,train,biodegradable1401,b69a207c778594a2cf9bde5b080fb1098f9bd33a607a8c10966cc4a61a74bd65,416,416,5
train,biodegradable1408_jpg.rf.7c79b8c37bc27b860e14a2806bc25d5b.jpg,train,biodegradable1408,b0e5a185453ce297cb0babd6a4b7beec5132f76f4599c266b7a0810b8b181cae,416,416,24
val,biodegradable1416_jpg.rf.479b5954a15f931039b6bca0a85052c5.jpg,train,biodegradable1416,dc151fb809c128e829bacbccba84dce7ce716a17188104c8fe8ee2794a988b81,416,416,29
test,biodegradable1498_jpg.rf.5e6932e302578d2b157e2ed6ac31cc30.jpg,train,biodegradable1498,202a73d2b69971747e691565d99d22bc38357e38132fbbe1f0b6385d27c4871f,416,416,2
train,biodegradable1566_jpg.rf.f31d97835d8e4e41028e9b8e5b52646d.jpg,train,biodegradable1566,9224cb5eafb7188b948cdae5e3fc40d18bf47a4789e7f6b2bcee98ac55186f0b,416,416,1
train,biodegradable1616_jpg.rf.6ddfde31f06752de1bc0706c65d8dbfe.jpg,train,biodegradable1616,f9911fa028174ae293e689076e971581f52654d751ef30611b3880f1dfb05395,416,416,1
train,biodegradable1626_jpg.rf.d55b53144e01949a79885db856957ae6.jpg,train,biodegradable1626,3064b35426cd5e16826c35d60434eaec927cf6968cd78b67623039ba85e251d5,416,416,1
train,biodegradable1655_jpg.rf.86faa32b70140a1a92a2c5b0d8b167e7.jpg,train,biodegradable1655,0bfc911097615c0534adb3be3158fcce949a9f7403b162ad6a25068bc416f369,416,416,2
