split,image_id,source_relative_path,prepared_name,annotation_id,class_id,class,coco_bbox_xywh,yolo_xc_yc_w_h,image_width,image_height,relative_area,size_bucket,clipped
train,0,batch_1/000006.jpg,batch_1_000006.jpg,1,1,bottle,"517.00,127.00,447.00,1322.00","0.481783,0.384578,0.290826,0.645193",1537,2049,0.18763902,medium,False
train,1,batch_1/000008.jpg,batch_1_000008.jpg,2,4,carton,"1.00,457.00,1429.00,1519.00","0.465517,0.593704,0.929733,0.741337",1537,2049,0.68924588,large,False
train,1,batch_1/000008.jpg,batch_1_000008.jpg,3,4,carton,"531.00,292.00,1006.00,672.00","0.672739,0.306491,0.654522,0.327965",1537,2049,0.21466015,large,False
test,2,batch_1/000010.jpg,batch_1_000010.jpg,4,1,bottle,"632.00,987.00,500.00,374.00","0.573845,0.572962,0.325309,0.182528",1537,2049,0.05937803,medium,False
test,2,batch_1/000010.jpg,batch_1_000010.jpg,5,2,bottle_cap,"632.00,989.00,44.00,51.00","0.425504,0.495120,0.028627,0.024890",1537,2049,0.00071254,tiny,False
test,3,batch_1/000019.jpg,batch_1_000019.jpg,6,1,bottle,"209.00,920.00,454.00,562.00","0.212787,0.781392,0.221571,0.365647",2049,1537,0.08101703,medium,False
test,3,batch_1/000019.jpg,batch_1_000019.jpg,7,1,bottle,"1212.00,822.00,179.00,446.00","0.635188,0.679896,0.087360,0.290176",2049,1537,0.02534966,small,False
test,3,batch_1/000019.jpg,batch_1_000019.jpg,8,2,bottle_cap,"634.00,1442.00,29.00,39.00","0.316496,0.950878,0.014153,0.025374",2049,1537,0.00035913,tiny,False
test,3,batch_1/000019.jpg,batch_1_000019.jpg,9,3,can,"589.00,548.00,341.00,405.00","0.370669,0.488289,0.166423,0.263500",2049,1537,0.04385242,small,False
val,4,batch_1/000026.jpg,batch_1_000026.jpg,10,3,can,"556.00,944.00,490.00,336.00","0.521145,0.542704,0.318803,0.163982",1537,2049,0.05227807,medium,False
train,5,batch_1/000047.jpg,batch_1_000047.jpg,11,3,can,"1205.00,47.00,623.00,721.00","0.740117,0.265127,0.304051,0.469096",2049,1537,0.14262888,medium,False
train,5,batch_1/000047.jpg,batch_1_000047.jpg,12,3,can,"309.00,11.00,581.00,820.00","0.292582,0.273910,0.283553,0.533507",2049,1537,0.15127744,medium,False
train,5,batch_1/000047.jpg,batch_1_000047.jpg,13,1,bottle,"189.00,751.00,1617.00,589.00","0.486823,0.680221,0.789165,0.383214",2049,1537,0.30241929,large,False
train,5,batch_1/000047.jpg,batch_1_000047.jpg,14,2,bottle_cap,"189.00,903.00,205.00,226.00","0.142265,0.661028,0.100049,0.147040",2049,1537,0.01471114,small,False
train,6,batch_1/000055.jpg,batch_1_000055.jpg,17,3,can,"515.00,439.00,357.00,1125.00","0.451204,0.488775,0.232271,0.549048",1537,2049,0.12752781,medium,False
train,7,batch_1/000001.jpg,batch_1_000001.jpg,18,1,bottle,"826.00,744.00,464.00,205.00","0.516349,0.550748,0.226452,0.133377",2049,1537,0.03020341,small,False
train,7,batch_1/000001.jpg,batch_1_000001.jpg,19,2,bottle_cap,"1254.00,777.00,36.00,47.00","0.620791,0.520820,0.017570,0.030579",2049,1537,0.00053726,tiny,False
train,8,batch_1/000005.jpg,batch_1_000005.jpg,20,1,bottle,"824.00,557.00,89.00,236.00","0.565062,0.329429,0.057905,0.115178",1537,2049,0.00666939,tiny,False
train,9,batch_1/000007.jpg,batch_1_000007.jpg,21,3,can,"730.00,126.00,275.00,609.00","0.564411,0.210102,0.178920,0.297218",1537,2049,0.05317826,medium,False
train,9,batch_1/000007.jpg,batch_1_000007.jpg,22,6,cup,"804.00,0.00,222.00,160.00","0.595316,0.039043,0.144437,0.078087",1537,2049,0.01127865,small,False
