crop_filename,source_image_id,source_image_path,source_split,target_class_id,target_class,original_bbox_norm,original_bbox_px,crop_window_px,crop_size_px,source_size_px,resulting_bbox_norm,original_rel_area,new_rel_area,area_gain,original_bucket,new_bucket,boxes_in_crop
crop_batch_10_000000_000_bottle.jpg,batch_10_000000,data/raw/batch_10/000000.jpg,train,1,bottle,"0.855263,0.341500,0.208333,0.037500","1370.0,1291.0,380.0,150.0","1064,986,1824,1746",760x760,1824x4000,"0.652631,0.500000,0.499999,0.197368",0.00781249,0.09868405,12.6,tiny,medium,1
crop_batch_10_000001_001_bottle_cap.jpg,batch_10_000001,data/raw/batch_10/000001.jpg,train,2,bottle_cap,"0.071375,0.253316,0.019250,0.038377","247.0,427.0,77.0,70.0","190,366,382,558",192x192,4000x1824,"0.497396,0.500252,0.401042,0.364582",0.00073876,0.14621237,197.9,tiny,medium,1
crop_batch_10_000001_000_bottle.jpg,batch_10_000001,data/raw/batch_10/000001.jpg,train,1,bottle,"0.119000,0.164500,0.114500,0.218202","247.0,101.0,458.0,398.0","18,0,934,916",916x916,4000x1824,"0.500000,0.327563,0.500000,0.434498",0.02498413,0.21724915,8.7,small,large,2
crop_batch_10_000001_002_bottle.jpg,batch_10_000001,data/raw/batch_10/000001.jpg,train,1,bottle,"0.665274,0.270037,0.042000,0.076206","2577.1,423.0,168.0,139.0","2493,325,2829,661",336x336,4000x1824,"0.500286,0.498653,0.500000,0.413690",0.00320065,0.20684486,64.6,tiny,large,1
crop_batch_10_000002_002_bag_wrapper.jpg,batch_10_000002,data/raw/batch_10/000002.jpg,train,0,bag_wrapper,"0.014500,0.400219,0.025500,0.044956","7.0,689.0,102.0,82.0","0,628,204,832",204x204,4000x1824,"0.284314,0.499997,0.500000,0.401960",0.00114638,0.20097976,175.3,tiny,large,1
crop_batch_10_000002_001_bottle_cap.jpg,batch_10_000002,data/raw/batch_10/000002.jpg,train,2,bottle_cap,"0.310125,0.645559,0.008250,0.020285","1224.0,1159.0,33.0,37.0","1144,1081,1336,1273",192x192,4000x1824,"0.502604,0.502602,0.171875,0.192708",0.00016735,0.0331216,197.9,tiny,small,1
crop_batch_10_000002_000_bottle.jpg,batch_10_000002,data/raw/batch_10/000002.jpg,train,1,bottle,"0.356750,0.599781,0.101500,0.109649","1224.0,994.0,406.0,200.0","1021,688,1833,1500",812x812,4000x1824,"0.500000,0.500001,0.500000,0.246305",0.01112937,0.12315257,11.1,small,medium,2
crop_batch_10_000003_006_cup.jpg,batch_10_000003,data/raw/batch_10/000003.jpg,train,6,cup,"0.295000,0.487664,0.025000,0.055373","1130.0,839.0,100.0,101.0","1079,788,1281,990",202x202,4000x1824,"0.500000,0.502471,0.495050,0.500002",0.00138433,0.24752562,178.8,tiny,large,1
crop_batch_10_000003_001_bottle.jpg,batch_10_000003,data/raw/batch_10/000003.jpg,train,1,bottle,"0.160000,0.255482,0.062000,0.097588","516.0,377.0,248.0,178.0","392,218,888,714",496x496,4000x1824,"0.500000,0.499998,0.500000,0.358872",0.00605046,0.179436,29.7,tiny,medium,4
crop_batch_10_000003_002_bottle.jpg,batch_10_000003,data/raw/batch_10/000003.jpg,train,1,bottle,"0.196875,0.223958,0.061250,0.104715","665.0,313.0,245.0,191.0","542,163,1032,653",490x490,4000x1824,"0.501020,0.501019,0.500000,0.389796",0.00641379,0.19489812,30.4,tiny,medium,4
crop_batch_10_000003_008_bag_wrapper.jpg,batch_10_000003,data/raw/batch_10/000003.jpg,train,0,bag_wrapper,"0.546375,0.360471,0.071750,0.079496","2042.0,585.0,287.0,145.0","1898,370,2472,944",574x574,4000x1824,"0.500871,0.500870,0.500000,0.252614",0.00570384,0.12630723,22.1,tiny,medium,2
crop_batch_10_000005_001_bottle.jpg,batch_10_000005,data/raw/batch_10/000005.jpg,train,1,bottle,"0.780428,0.786500,0.311952,0.055500","1139.0,3035.0,569.0,222.0","686,2577,1824,3715",1138x1138,1824x4000,"0.648067,0.500000,0.500000,0.195079",0.01731334,0.09753962,5.6,small,medium,1
crop_batch_10_000005_002_bag_wrapper.jpg,batch_10_000005,data/raw/batch_10/000005.jpg,train,0,bag_wrapper,"0.287555,0.949375,0.131031,0.059250","405.0,3679.0,239.0,237.0","285,3522,764,4000",479x478,1824x4000,"0.500001,0.576360,0.498957,0.495816",0.00776359,0.24739096,31.9,tiny,large,1
crop_batch_10_000005_003_bag_wrapper.jpg,batch_10_000005,data/raw/batch_10/000005.jpg,train,0,bag_wrapper,"0.028235,0.926875,0.054276,0.060750","2.0,3586.0,99.0,243.0","0,3464,486,3950",486x486,1824x4000,"0.105968,0.501029,0.203703,0.500000",0.00329727,0.10185126,30.9,tiny,medium,1
crop_batch_10_000006_001_bag_wrapper.jpg,batch_10_000006,data/raw/batch_10/000006.jpg,train,0,bag_wrapper,"0.719024,0.416875,0.183662,0.097750","1144.0,1472.0,335.0,391.0","920,1276,1702,2058",782x782,1824x4000,"0.500639,0.500639,0.428388,0.500000",0.01795296,0.21419405,11.9,small,large,2
crop_batch_10_000006_000_bag_wrapper.jpg,batch_10_000006,data/raw/batch_10/000006.jpg,train,0,bag_wrapper,"0.611294,0.389250,0.222588,0.161000","912.0,1235.0,406.0,644.0","471,913,1759,2201",1288x1288,1824x4000,"0.500000,0.500000,0.315218,0.500000",0.03583667,0.15760889,4.4,small,medium,2
crop_batch_10_000008_001_bag_wrapper.jpg,batch_10_000008,data/raw/batch_10/000008.jpg,train,0,bag_wrapper,"0.340186,0.258250,0.122259,0.069500","509.0,894.0,223.0,278.0","342,755,898,1311",556x556,1824x4000,"0.500898,0.500000,0.401080,0.500000",0.008497,0.20053994,23.6,tiny,large,1
crop_batch_10_000008_000_bag_wrapper.jpg,batch_10_000008,data/raw/batch_10/000008.jpg,train,0,bag_wrapper,"0.298246,0.547750,0.153509,0.148500","404.0,1894.0,280.0,594.0","0,1597,1188,2785",1188x1188,1824x4000,"0.457913,0.500000,0.235691,0.500000",0.02279609,0.11784529,5.2,small,medium,1
crop_batch_10_000009_000_bag_wrapper.jpg,batch_10_000009,data/raw/batch_10/000009.jpg,train,0,bag_wrapper,"0.580750,0.463268,0.033000,0.061404","2257.0,789.0,132.0,112.0","2191,713,2455,977",264x264,4000x1824,"0.500000,0.500003,0.500000,0.424246",0.00202633,0.21212291,104.7,tiny,large,1
crop_batch_10_000011_002_bottle_cap.jpg,batch_10_000011,data/raw/batch_10/000011.jpg,train,2,bottle_cap,"0.365875,0.534265,0.037750,0.042215","1388.0,936.0,151.0,77.0","1312,823,1614,1125",302x302,4000x1824,"0.501656,0.501654,0.500000,0.254967",0.00159362,0.12748371,80.0,tiny,medium,1
crop_batch_10_000011_001_bag_wrapper.jpg,batch_10_000011,data/raw/batch_10/000011.jpg,train,0,bag_wrapper,"0.239625,0.248355,0.060750,0.110746","837.0,352.0,243.0,202.0","716,210,1202,696",486x486,4000x1824,"0.498971,0.499999,0.500000,0.415639",0.00672782,0.20781965,30.9,tiny,large,2
crop_batch_10_000011_010_bag_wrapper.jpg,batch_10_000011,data/raw/batch_10/000011.jpg,train,0,bag_wrapper,"0.398125,0.128838,0.092250,0.257675","1408.0,0.0,369.0,470.0","1123,0,2062,940",939x940,4000x1824,"0.500000,0.250001,0.392971,0.499999",0.02377052,0.19648529,8.3,small,medium,2
crop_batch_10_000011_003_bottle_cap.jpg,batch_10_000011,data/raw/batch_10/000011.jpg,train,2,bottle_cap,"0.418625,0.612390,0.042750,0.050439","1589.0,1071.0,171.0,92.0","1504,946,1846,1288",342x342,4000x1824,"0.498538,0.499998,0.500000,0.269008",0.00215627,0.134504,62.4,tiny,medium,1
crop_batch_10_000012_000_bottle.jpg,batch_10_000012,data/raw/batch_10/000012.jpg,train,1,bottle,"0.836075,0.620500,0.104715,0.034500","1429.5,2413.0,191.0,138.0","1334,2291,1716,2673",382x382,1824x4000,"0.500002,0.500000,0.500000,0.361257",0.00361267,0.18062842,50.0,tiny,medium,1
crop_batch_10_000022_000_bag_wrapper.jpg,batch_10_000022,data/raw/batch_10/000022.jpg,train,0,bag_wrapper,"0.521930,0.324000,0.244518,0.087000","729.0,1122.0,446.0,348.0","506,850,1398,1742",892x892,1824x4000,"0.500000,0.500000,0.500001,0.390135",0.02127307,0.19506763,9.2,small,medium,1
crop_batch_10_000022_002_cigarette.jpg,batch_10_000022,data/raw/batch_10/000022.jpg,train,5,cigarette,"0.925713,0.614250,0.021382,0.014500","1669.0,2428.0,39.0,58.0","1593,2361,1785,2553",192x192,1824x4000,"0.497399,0.500000,0.203129,0.302083",0.00031004,0.06136189,197.9,tiny,medium,1
crop_batch_10_000022_001_cigarette.jpg,batch_10_000022,data/raw/batch_10/000022.jpg,train,5,cigarette,"0.452303,0.500875,0.042763,0.012250","786.0,1979.0,78.0,49.0","729,1907,921,2100",192x193,1824x4000,"0.500004,0.500000,0.406249,0.253886",0.00052385,0.10314081,196.9,tiny,medium,1
crop_batch_10_000022_003_bag_wrapper.jpg,batch_10_000022,data/raw/batch_10/000022.jpg,train,0,bag_wrapper,"0.263158,0.966875,0.099781,0.056250","389.0,3755.0,182.0,225.0","255,3550,705,4000",450x450,1824x4000,"0.500000,0.705556,0.404446,0.500000",0.00561268,0.20222283,36.0,tiny,large,1
crop_batch_10_000025_000_can.jpg,batch_10_000025,data/raw/batch_10/000025.jpg,train,3,can,"0.701480,0.612875,0.140899,0.047750","1151.0,2356.0,257.0,191.0","1022,2195,1536,2708",514x513,1824x4000,"0.500972,0.500000,0.500000,0.372320",0.00672793,0.18615968,27.7,tiny,medium,1
crop_batch_10_000026_001_carton.jpg,batch_10_000026,data/raw/batch_10/000026.jpg,train,4,carton,"0.478375,0.546327,0.112250,0.240680","1689.0,777.0,449.0,439.0","1464,548,2362,1446",898x898,4000x1824,"0.500557,0.499444,0.500000,0.488864",0.02701633,0.24443225,9.0,small,large,1
crop_batch_10_000026_000_carton.jpg,batch_10_000026,data/raw/batch_10/000026.jpg,train,4,carton,"0.366875,0.835526,0.108750,0.246711","1250.0,1299.0,435.0,450.0","1017,924,1918,1824",901x900,4000x1824,"0.500000,0.666666,0.482797,0.500001",0.02682982,0.24139891,9.0,small,large,1
crop_batch_10_000032_000_bag_wrapper.jpg,batch_10_000032,data/raw/batch_10/000032.jpg,train,0,bag_wrapper,"0.331086,0.601000,0.050987,0.026500","557.4,2351.0,93.0,106.0","498,2298,710,2510",212x212,1824x4000,"0.499532,0.500000,0.438681,0.500000",0.00135116,0.2193403,162.3,tiny,large,1
crop_batch_10_000033_000_straw.jpg,batch_10_000033,data/raw/batch_10/000033.jpg,train,7,straw,"0.574561,0.499250,0.037281,0.022000","1014.0,1953.0,68.0,88.0","952,1901,1144,2093",192x192,1824x4000,"0.499996,0.500000,0.354169,0.458333",0.00082018,0.16232769,197.9,tiny,medium,1
crop_batch_10_000034_014_bag_wrapper.jpg,batch_10_000034,data/raw/batch_10/000034.jpg,train,0,bag_wrapper,"0.022752,0.767125,0.024671,0.011250","19.0,3046.0,45.0,45.0","0,2972,192,3164",192x192,1824x4000,"0.216144,0.502604,0.234375,0.234375",0.00027755,0.05493152,197.9,tiny,medium,1
crop_batch_10_000034_000_can.jpg,batch_10_000034,data/raw/batch_10/000034.jpg,train,3,can,"0.504112,0.467250,0.110197,0.023500","819.0,1822.0,201.0,94.0","719,1668,1120,2070",401x402,1824x4000,"0.500001,0.500000,0.501245,0.233831",0.00258963,0.11720659,45.3,tiny,medium,3
crop_batch_10_000034_008_cigarette.jpg,batch_10_000034,data/raw/batch_10/000034.jpg,train,5,cigarette,"0.120340,0.792250,0.022478,0.019000","199.0,3131.0,41.0,76.0","124,3073,316,3265",192x192,1824x4000,"0.497397,0.500000,0.213541,0.395833",0.00042708,0.08452665,197.9,tiny,medium,1
crop_batch_10_000034_007_cigarette.jpg,batch_10_000034,data/raw/batch_10/000034.jpg,train,5,cigarette,"0.223410,0.712875,0.021382,0.014750","388.0,2822.0,39.0,59.0","311,2756,503,2948",192x192,1824x4000,"0.502603,0.497396,0.203129,0.307292",0.00031538,0.06241985,197.9,tiny,medium,2
