scope,metric,run_001,run_002,absolute_delta,relative_delta
overall/val,precision,0.448261,0.521892,+0.0736,+16.4%
overall/val,recall,0.261892,0.270335,+0.0084,+3.2%
overall/val,f1,0.330622,0.356175,+0.0256,+7.7%
overall/val,map50,0.286104,0.294683,+0.0086,+3.0%
overall/val,map75,0.23566,0.254639,+0.0190,+8.1%
overall/val,map50_95,0.212003,0.224087,+0.0121,+5.7%
overall/test,precision,0.269626,0.315835,+0.0462,+17.1%
overall/test,recall,0.185333,0.247013,+0.0617,+33.3%
overall/test,f1,0.219671,0.277216,+0.0575,+26.2%
overall/test,map50,0.200694,0.210504,+0.0098,+4.9%
overall/test,map75,0.169647,0.163656,-0.0060,-3.5%
overall/test,map50_95,0.158616,0.145282,-0.0133,-8.4%
size_recall/test,tiny,0.0511,0.0949,+0.0438,+85.7%
size_recall/test,small,0.1739,0.2125,+0.0386,+22.2%
size_recall/test,medium,0.3077,0.2727,-0.0350,-11.4%
size_recall/test,large,0.5,0.2353,-0.2647,-52.9%
per_class/test/ap50_95,bag_wrapper,0.115578,0.189942,+0.0744,+64.3%
per_class/test/recall,bag_wrapper,0.119403,0.330435,+0.2110,+176.7%
per_class/test/ap50_95,bottle,0.419386,0.224579,-0.1948,-46.5%
per_class/test/recall,bottle,0.333333,0.346154,+0.0128,+3.8%
per_class/test/ap50_95,bottle_cap,0.22881,0.194467,-0.0343,-15.0%
per_class/test/recall,bottle_cap,0.379927,0.361111,-0.0188,-5.0%
per_class/test/ap50_95,can,0.103082,0.279677,+0.1766,+171.3%
per_class/test/recall,can,0.15,0.468445,+0.3184,+212.3%
per_class/test/ap50_95,carton,0.016747,0.141329,+0.1246,+743.9%
per_class/test/recall,carton,0.0,0.272727,+0.2727,—
per_class/test/ap50_95,cigarette,0.001464,0.021384,+0.0199,+1360.7%
per_class/test/recall,cigarette,0.0,0.012048,+0.0120,—
per_class/test/ap50_95,cup,0.376076,0.098607,-0.2775,-73.8%
per_class/test/recall,cup,0.5,0.185185,-0.3148,-63.0%
per_class/test/ap50_95,straw,0.007786,0.012269,+0.0045,+57.6%
per_class/test/recall,straw,0.0,0.0,+0.0000,—
dataset,dataset images,,1082,—,—
dataset,dataset annotations,,2671,—,—
dataset,training images,,748,—,—
dataset,training annotations,,1861,—,—
training,epochs_completed,64,24,-40.0000,-62.5%
training,best_epoch,44,20,-24.0000,-54.5%
training,training_hours,1.59,2.184,+0.5940,+37.4%
