image_id,file_name,batch,flickr_url,annotations,original_categories,mapped_classes,mapped_annotation_count,width,height
136,batch_10/000035.jpg,batch_10,https://farm66.staticflickr.com/65535/48693801613_b8d405ab84_o.png,17,Cigarette; Drink can; Normal paper; Plastic film; Pop tab; Tissues,bag_wrapper; can; cigarette,13,1824,4000
137,batch_10/000036.jpg,batch_10,https://farm66.staticflickr.com/65535/48694141426_b4b9840250_o.png,15,Cigarette; Other carton; Unlabeled litter,carton; cigarette,13,1824,4000
138,batch_10/000037.jpg,batch_10,https://farm66.staticflickr.com/65535/48694315592_5603672ea3_o.png,5,Cigarette; Other carton,carton; cigarette,5,4000,1824
139,batch_10/000038.jpg,batch_10,https://farm66.staticflickr.com/65535/48694140996_986fb38cbd_o.png,4,Drink carton; Magazine paper; Normal paper; Unlabeled litter,carton,1,1824,4000
140,batch_10/000039.jpg,batch_10,https://farm66.staticflickr.com/65535/48693800678_a4a7006013_o.png,1,Plastic bottle cap,bottle_cap,1,1824,4000
141,batch_10/000040.jpg,batch_10,https://farm66.staticflickr.com/65535/48694128116_c295cf55d0_o.png,2,Plastic film; Unlabeled litter,bag_wrapper,1,4000,1824
142,batch_10/000041.jpg,batch_10,https://farm66.staticflickr.com/65535/48694127886_fee8f2515b_o.png,5,Cigarette; Plastic film,bag_wrapper; cigarette,5,1824,4000
143,batch_10/000042.jpg,batch_10,https://farm66.staticflickr.com/65535/48693787953_1ffb997ded_o.png,3,Other plastic wrapper; Plastic film,bag_wrapper,3,1824,4000
144,batch_10/000043.jpg,batch_10,https://farm66.staticflickr.com/65535/48693787693_c6e9a06ae0_o.png,7,Cigarette; Plastic film,bag_wrapper; cigarette,7,1824,4000
145,batch_10/000044.jpg,batch_10,https://farm66.staticflickr.com/65535/48693787208_c59bcdb501_o.png,1,Plastic straw,straw,1,1824,4000
146,batch_10/000045.jpg,batch_10,https://farm66.staticflickr.com/65535/48694301132_bb5aa14db0_o.png,1,Plastic bottle cap,bottle_cap,1,1824,4000
147,batch_10/000046.jpg,batch_10,https://farm66.staticflickr.com/65535/48694126861_a3bbcf6bf3_o.png,1,Other carton,carton,1,1824,4000
148,batch_10/000047.jpg,batch_10,https://farm66.staticflickr.com/65535/48694300517_5dfa59ba1a_o.png,5,Clear plastic bottle; Unlabeled litter,bottle,1,1824,4000
149,batch_10/000048.jpg,batch_10,https://farm66.staticflickr.com/65535/48693786348_2633a70041_o.png,5,Broken glass; Plastic film; Unlabeled litter,bag_wrapper,2,1824,4000
150,batch_10/000049.jpg,batch_10,https://farm66.staticflickr.com/65535/48693785608_c8fb278ea2_o.png,2,Other plastic wrapper; Unlabeled litter,bag_wrapper,1,1824,4000
