image,ground_truth_class,rel_area,size_bucket
batch_10_000000.jpg,bottle,0.007812,tiny
batch_10_000002.jpg,bottle_cap,0.000167,tiny
batch_10_000002.jpg,bag_wrapper,0.001146,tiny
batch_10_000004.jpg,bag_wrapper,0.003758,tiny
batch_10_000004.jpg,bag_wrapper,0.001476,tiny
batch_10_000004.jpg,bag_wrapper,0.000905,tiny
batch_10_000031.jpg,carton,0.105705,medium
batch_10_000031.jpg,cigarette,0.000135,tiny
batch_10_000034.jpg,can,0.00259,tiny
batch_10_000034.jpg,cigarette,9.6e-05,tiny
batch_10_000034.jpg,cigarette,0.000217,tiny
batch_10_000034.jpg,cigarette,0.000171,tiny
batch_10_000034.jpg,cigarette,0.000317,tiny
batch_10_000034.jpg,cigarette,0.000147,tiny
batch_10_000034.jpg,cigarette,0.000408,tiny
batch_10_000034.jpg,cigarette,0.000315,tiny
batch_10_000034.jpg,cigarette,0.000427,tiny
batch_10_000034.jpg,cigarette,0.000699,tiny
batch_10_000034.jpg,cigarette,0.000469,tiny
batch_10_000034.jpg,cigarette,0.000115,tiny
batch_10_000034.jpg,cigarette,0.000155,tiny
batch_10_000034.jpg,cigarette,6.6e-05,tiny
batch_10_000034.jpg,bag_wrapper,0.000278,tiny
batch_11_000023.jpg,bottle_cap,0.007189,tiny
batch_11_000039.jpg,carton,0.005207,tiny
batch_11_000039.jpg,carton,0.021215,small
batch_11_000095.jpg,bottle,0.022513,small
batch_11_000095.jpg,bottle_cap,0.000699,tiny
batch_11_000095.jpg,bag_wrapper,0.001919,tiny
batch_12_000013.jpg,bottle_cap,0.00439,tiny
batch_12_000043.jpg,can,0.004419,tiny
batch_12_000043.jpg,can,0.002352,tiny
batch_12_000043.jpg,can,0.001683,tiny
batch_12_000043.jpg,bag_wrapper,0.002029,tiny
batch_12_000043.jpg,bag_wrapper,0.006063,tiny
batch_12_000043.jpg,carton,0.000496,tiny
batch_12_000043.jpg,bottle,0.004924,tiny
batch_12_000043.jpg,bottle_cap,0.000128,tiny
batch_12_000047.jpg,carton,0.004074,tiny
batch_12_000047.jpg,carton,0.014618,small
batch_12_000047.jpg,bottle,0.001373,tiny
batch_12_000047.jpg,bottle_cap,4.9e-05,tiny
batch_12_000047.jpg,bottle_cap,5e-05,tiny
batch_12_000047.jpg,bottle_cap,3.2e-05,tiny
batch_12_000047.jpg,bottle,0.000977,tiny
batch_12_000047.jpg,cup,0.000729,tiny
batch_12_000047.jpg,bag_wrapper,0.000625,tiny
batch_12_000047.jpg,bag_wrapper,0.001631,tiny
batch_12_000047.jpg,cigarette,0.00014,tiny
batch_12_000061.jpg,bag_wrapper,0.000445,tiny
batch_12_000061.jpg,bag_wrapper,0.001281,tiny
batch_12_000061.jpg,bag_wrapper,0.0012,tiny
batch_12_000061.jpg,bag_wrapper,0.004117,tiny
batch_12_000061.jpg,bag_wrapper,0.001688,tiny
batch_12_000061.jpg,bag_wrapper,0.004301,tiny
batch_12_000061.jpg,bag_wrapper,0.00617,tiny
batch_12_000061.jpg,bag_wrapper,0.002564,tiny
batch_12_000061.jpg,bag_wrapper,0.006502,tiny
batch_12_000061.jpg,bag_wrapper,0.003974,tiny
batch_12_000061.jpg,bag_wrapper,0.004232,tiny
batch_12_000061.jpg,bag_wrapper,0.016116,small
batch_12_000061.jpg,bag_wrapper,0.010732,small
batch_12_000061.jpg,bag_wrapper,0.004092,tiny
batch_12_000061.jpg,bag_wrapper,0.005269,tiny
batch_12_000061.jpg,bag_wrapper,0.012444,small
batch_12_000061.jpg,bag_wrapper,0.030347,small
batch_12_000061.jpg,bag_wrapper,0.002938,tiny
batch_12_000061.jpg,bag_wrapper,0.003016,tiny
batch_12_000061.jpg,bag_wrapper,0.010917,small
batch_12_000061.jpg,bag_wrapper,0.006077,tiny
batch_12_000061.jpg,bag_wrapper,0.00721,tiny
batch_12_000061.jpg,bag_wrapper,0.004891,tiny
batch_12_000061.jpg,bag_wrapper,0.006237,tiny
batch_12_000061.jpg,bag_wrapper,0.007027,tiny
batch_12_000061.jpg,bag_wrapper,0.003738,tiny
batch_12_000061.jpg,bag_wrapper,0.002536,tiny
batch_12_000061.jpg,bag_wrapper,0.004002,tiny
batch_12_000061.jpg,bag_wrapper,0.015411,small
batch_12_000061.jpg,bottle,0.004198,tiny
batch_12_000061.jpg,bag_wrapper,0.002458,tiny
batch_12_000061.jpg,bag_wrapper,0.001075,tiny
batch_12_000061.jpg,bag_wrapper,0.001121,tiny
batch_12_000061.jpg,bag_wrapper,0.00201,tiny
batch_12_000061.jpg,bag_wrapper,0.000668,tiny
batch_12_000061.jpg,bag_wrapper,0.00074,tiny
batch_12_000061.jpg,bag_wrapper,0.000779,tiny
batch_12_000091.jpg,straw,0.09672,medium
batch_12_000091.jpg,bag_wrapper,0.010434,small
batch_12_000091.jpg,straw,0.04852,small
batch_12_000091.jpg,bag_wrapper,0.012892,small
batch_12_000091.jpg,bag_wrapper,0.024869,small
batch_12_000091.jpg,bag_wrapper,0.012741,small
batch_12_000091.jpg,bag_wrapper,0.06846,medium
batch_12_000092.jpg,bag_wrapper,0.006482,tiny
batch_12_000094.jpg,bottle_cap,0.00315,tiny
batch_13_000010.jpg,straw,0.125601,medium
batch_13_000010.jpg,cigarette,0.005063,tiny
batch_13_000025.jpg,straw,0.003958,tiny
batch_13_000025.jpg,straw,0.001054,tiny
batch_13_000025.jpg,straw,0.007837,tiny
batch_13_000025.jpg,straw,0.008461,tiny
batch_13_000025.jpg,straw,0.007795,tiny
batch_13_000025.jpg,straw,0.003761,tiny
batch_13_000025.jpg,straw,0.007226,tiny
batch_13_000025.jpg,straw,0.00052,tiny
batch_13_000025.jpg,straw,0.002734,tiny
batch_13_000025.jpg,straw,0.003179,tiny
batch_13_000025.jpg,straw,0.001831,tiny
batch_13_000025.jpg,straw,0.000437,tiny
batch_13_000025.jpg,straw,0.000131,tiny
batch_13_000025.jpg,straw,0.007951,tiny
batch_13_000025.jpg,straw,0.00233,tiny
batch_13_000025.jpg,straw,0.004529,tiny
batch_13_000025.jpg,straw,0.000351,tiny
batch_13_000025.jpg,straw,0.001216,tiny
batch_13_000025.jpg,straw,8.7e-05,tiny
batch_13_000025.jpg,straw,0.000435,tiny
batch_13_000025.jpg,straw,0.000258,tiny
batch_13_000025.jpg,straw,0.000275,tiny
batch_13_000025.jpg,straw,0.000225,tiny
batch_13_000025.jpg,bag_wrapper,0.003748,tiny
batch_13_000025.jpg,bag_wrapper,0.006096,tiny
batch_13_000025.jpg,carton,0.003655,tiny
batch_13_000025.jpg,bag_wrapper,0.000335,tiny
batch_13_000025.jpg,bag_wrapper,0.002945,tiny
batch_13_000025.jpg,bag_wrapper,0.001338,tiny
batch_13_000025.jpg,bag_wrapper,0.002198,tiny
batch_13_000025.jpg,bag_wrapper,0.003849,tiny
batch_13_000025.jpg,bag_wrapper,0.000777,tiny
batch_13_000025.jpg,cigarette,0.000391,tiny
batch_13_000026.jpg,bottle_cap,0.001121,tiny
batch_13_000034.jpg,bottle,0.084505,medium
batch_13_000034.jpg,bottle,0.053021,medium
batch_13_000039.jpg,bottle,0.065359,medium
batch_13_000039.jpg,bottle_cap,0.001433,tiny
batch_13_000053.jpg,carton,0.001883,tiny
batch_13_000087.jpg,cigarette,0.011087,small
batch_13_000087.jpg,cigarette,0.021618,small
batch_14_000021.jpg,bottle,0.011472,small
batch_14_000022.jpg,cup,0.015318,small
batch_14_000079.jpg,bottle,0.071733,medium
batch_14_000079.jpg,can,0.023198,small
batch_15_000003.jpg,bottle,0.012958,small
batch_15_000004.jpg,bottle,0.014525,small
batch_15_000036.jpg,cup,0.042989,small
batch_15_000044.jpg,bottle_cap,0.007534,tiny
batch_15_000047.jpg,bag_wrapper,0.076118,medium
batch_15_000058.jpg,carton,0.034501,small
batch_15_000058.jpg,bag_wrapper,0.002292,tiny
batch_15_000064.jpg,cigarette,0.000253,tiny
batch_1_000023.jpg,bottle,0.020561,small
batch_1_000023.jpg,can,0.007228,tiny
batch_1_000023.jpg,can,0.007499,tiny
batch_1_000045.jpg,can,0.069935,medium
batch_1_000045.jpg,can,0.065431,medium
batch_1_000045.jpg,can,0.053929,medium
batch_1_000045.jpg,can,0.102057,medium
batch_1_000045.jpg,can,0.098991,medium
batch_1_000056.jpg,bottle,0.419743,large
batch_1_000066.JPG,carton,0.131891,medium
batch_1_000076.JPG,straw,0.017163,small
batch_1_000076.JPG,cigarette,0.000338,tiny
batch_1_000076.JPG,cigarette,0.000407,tiny
batch_1_000076.JPG,cigarette,0.000761,tiny
batch_1_000076.JPG,cigarette,0.000466,tiny
batch_1_000076.JPG,cigarette,0.000648,tiny
batch_1_000076.JPG,cigarette,0.000613,tiny
batch_1_000084.JPG,cup,0.042326,small
batch_1_000084.JPG,can,0.003149,tiny
batch_1_000084.JPG,can,0.002759,tiny
batch_1_000108.JPG,cigarette,0.001219,tiny
