image,object,class,original_rel_area,roi_rel_area,gain,original_bucket,roi_bucket,detected_full_frame,detected_guided_roi
batch_10_000013.jpg,0,bottle,0.00150493,0.05434301,36.1,tiny,medium,False,False
batch_10_000013.jpg,1,bottle,0.00262637,0.14993013,57.1,tiny,medium,False,False
batch_10_000015.jpg,0,can,0.00022314,0.03244605,145.4,tiny,small,False,False
batch_10_000015.jpg,1,can,0.00017105,0.02487265,145.4,tiny,small,False,False
batch_10_000015.jpg,2,bottle,0.00068956,0.04852265,70.4,tiny,small,False,False
batch_10_000015.jpg,3,bottle,0.00123697,0.15932742,128.8,tiny,medium,False,False
batch_10_000020.jpg,0,bag_wrapper,0.00187281,0.14688532,78.4,tiny,medium,False,False
batch_10_000020.jpg,1,cigarette,0.00012116,0.01761813,145.4,tiny,small,False,False
batch_10_000020.jpg,2,cigarette,0.00018503,0.02690469,145.4,tiny,small,False,False
batch_10_000020.jpg,3,cigarette,0.00011034,0.01604397,145.4,tiny,small,False,False
batch_10_000020.jpg,4,cigarette,0.00072546,0.10548737,145.4,tiny,medium,False,False
batch_10_000020.jpg,5,cigarette,0.00026645,0.03874393,145.4,tiny,small,False,False
batch_10_000020.jpg,6,cigarette,0.00017845,0.02594849,145.4,tiny,small,False,False
batch_10_000020.jpg,7,cigarette,0.00027824,0.04045844,145.4,tiny,small,False,False
batch_10_000020.jpg,8,cigarette,0.00019736,0.02869834,145.4,tiny,small,False,False
batch_10_000020.jpg,9,cigarette,0.00023027,0.03348241,145.4,tiny,small,False,False
batch_10_000020.jpg,10,cigarette,0.00028646,0.04165406,145.4,tiny,small,False,False
batch_10_000031.jpg,0,carton,0.10570508,0.23180939,2.2,medium,large,False,False
batch_10_000031.jpg,1,cigarette,0.00013487,0.01961091,145.4,tiny,small,False,False
batch_10_000037.jpg,0,carton,0.0005688,0.08270802,145.4,tiny,medium,False,False
batch_10_000037.jpg,1,carton,0.00181662,0.10697042,58.9,tiny,medium,False,False
batch_10_000037.jpg,2,cigarette,4.098e-05,0.00595919,145.4,tiny,tiny,False,False
batch_10_000037.jpg,3,cigarette,3.564e-05,0.0051818,145.4,tiny,tiny,False,False
batch_10_000037.jpg,4,cigarette,0.00028948,0.04209217,145.4,tiny,small,False,False
batch_10_000043.jpg,0,cigarette,0.00015899,0.02311844,145.4,tiny,small,False,False
batch_10_000043.jpg,1,cigarette,0.00033388,0.0485495,145.4,tiny,small,False,False
batch_10_000043.jpg,2,cigarette,0.00030208,0.04392504,145.4,tiny,small,False,False
batch_10_000043.jpg,3,bag_wrapper,0.00020724,0.03013417,145.4,tiny,small,False,False
batch_10_000043.jpg,4,bag_wrapper,0.00231606,0.13408404,57.9,tiny,medium,False,False
batch_10_000043.jpg,5,bag_wrapper,0.00933961,0.14209349,15.2,tiny,medium,False,False
batch_10_000043.jpg,6,bag_wrapper,0.00324178,0.14419778,44.5,tiny,medium,False,False
batch_10_000044.jpg,0,straw,0.00302522,0.05732693,18.9,tiny,medium,False,False
batch_10_000045.jpg,0,bottle_cap,0.00012664,0.01841507,145.4,tiny,small,False,False
batch_10_000059.jpg,0,bag_wrapper,0.00757526,0.12385949,16.4,tiny,medium,False,False
batch_10_000064.jpg,0,cigarette,0.00138638,0.11390283,82.2,tiny,medium,False,False
batch_10_000067.jpg,0,bag_wrapper,0.0033388,0.12873498,38.6,tiny,medium,False,False
batch_10_000080.jpg,0,straw,0.00181948,0.06794975,37.3,tiny,medium,False,False
batch_10_000084.jpg,0,bag_wrapper,0.10790133,0.23662573,2.2,medium,large,False,False
batch_10_000084.jpg,1,bag_wrapper,0.00417474,0.10761956,25.8,tiny,medium,False,False
batch_10_000086.jpg,0,bag_wrapper,0.01367187,0.11349331,8.3,small,medium,False,False
batch_10_000086.jpg,1,bottle,0.00843276,0.10190906,12.1,tiny,medium,False,False
batch_10_000086.jpg,2,cigarette,0.00024877,0.03617326,145.4,tiny,small,False,False
batch_10_000086.jpg,3,cigarette,0.00031798,0.04623689,145.4,tiny,small,False,False
batch_10_000086.jpg,4,cigarette,0.00023958,0.03483682,145.4,tiny,small,False,False
batch_10_000089.jpg,0,cup,0.00336472,0.14050141,41.8,tiny,medium,False,False
batch_10_000089.jpg,1,cup,0.00221574,0.13781116,62.2,tiny,medium,False,False
batch_10_000090.jpg,0,bag_wrapper,0.00267106,0.10298879,38.6,tiny,medium,False,False
batch_10_000094.jpg,0,cup,0.00172889,0.14252091,82.4,tiny,medium,False,False
batch_10_000094.jpg,1,bottle_cap,0.00013048,0.01897286,145.4,tiny,small,False,False
batch_10_000097.jpg,0,bottle,0.00819571,0.06107172,7.5,tiny,medium,True,True
batch_10_000097.jpg,1,bottle_cap,0.00016722,0.02431461,145.4,tiny,small,False,False
batch_10_000098.jpg,0,carton,0.17508074,0.383949,2.2,medium,large,False,False
batch_10_000098.jpg,1,carton,0.00163104,0.13445524,82.4,tiny,medium,False,False
batch_11_000001.jpg,0,carton,0.00528452,0.14823469,28.1,tiny,medium,False,False
batch_11_000004.jpg,0,carton,0.11227962,0.24622724,2.2,medium,large,False,True
batch_11_000011.jpg,0,carton,0.1816613,0.39838004,2.2,medium,large,False,False
batch_11_000011.jpg,1,carton,0.1666055,0.36536294,2.2,medium,large,False,False
batch_11_000011.jpg,2,carton,0.04616762,0.10124478,2.2,small,medium,False,True
batch_11_000012.jpg,0,carton,0.4555689,0.9616225,2.1,large,large,False,False
batch_11_000012.jpg,1,carton,0.0668413,0.14658181,2.2,medium,medium,False,True
batch_11_000028.jpg,0,bag_wrapper,0.0720888,0.1433517,2.0,medium,medium,False,False
batch_11_000028.jpg,1,bag_wrapper,0.01595689,0.10846333,6.8,small,medium,False,False
batch_11_000028.jpg,2,bag_wrapper,0.14636972,0.26021283,1.8,medium,large,False,False
