image,ground_truth_class,predicted_class,confidence,iou
batch_11_000048.jpg,can,bag_wrapper,0.4985,0.9747
batch_12_000056.jpg,bag_wrapper,can,0.8615,0.9508
batch_12_000070.jpg,bag_wrapper,bottle,0.803,0.952
batch_13_000014.jpg,cup,bag_wrapper,0.374,0.9787
batch_13_000016.jpg,carton,bag_wrapper,0.5434,0.9332
batch_13_000078.jpg,carton,bottle,0.4777,0.9623
batch_14_000000.jpg,bag_wrapper,bottle,0.9602,0.9591
batch_14_000086.jpg,bag_wrapper,cup,0.4702,0.9598
batch_15_000000.jpg,can,bottle_cap,0.4566,0.822
batch_15_000002.jpg,cup,can,0.5151,0.9249
batch_15_000039.jpg,bag_wrapper,carton,0.5872,0.9529
batch_15_000056.jpg,bottle,bag_wrapper,0.2607,0.9682
batch_15_000078.jpg,bottle,can,0.3745,0.8346
batch_1_000010.jpg,bottle,can,0.6261,0.9235
batch_1_000012.jpg,bottle,can,0.3225,0.8402
batch_1_000069.JPG,can,cup,0.4232,0.9551
batch_1_000083.JPG,cup,can,0.3584,0.6446
batch_2_000009.JPG,cup,can,0.4484,0.5893
batch_2_000039.JPG,can,bag_wrapper,0.3949,0.8959
batch_2_000079.JPG,bottle,cup,0.699,0.9458
batch_2_000079.JPG,carton,cup,0.523,0.8549
batch_2_000096.JPG,carton,cup,0.5552,0.9168
batch_2_000097.JPG,carton,cup,0.7473,0.9366
batch_3_IMG_4859.JPG,bag_wrapper,bottle,0.8381,0.8645
batch_3_IMG_4948.JPG,bottle,can,0.7104,0.7327
batch_3_IMG_5065.JPG,bag_wrapper,carton,0.5678,0.9773
batch_4_000008.JPG,straw,bag_wrapper,0.4835,0.9451
batch_4_000053.JPG,bag_wrapper,cup,0.3558,0.8851
batch_4_000088.JPG,bag_wrapper,cup,0.42,0.7989
batch_4_000088.JPG,bag_wrapper,bottle,0.2843,0.8487
batch_4_000097.JPG,bottle,can,0.5006,0.7508
batch_5_000005.JPG,cup,bag_wrapper,0.4796,0.9142
batch_6_000013.JPG,bag_wrapper,carton,0.8872,0.9707
batch_6_000056.JPG,bottle,can,0.7531,0.9393
batch_7_000073.JPG,carton,can,0.4391,0.8929
