image,ground_truth_class,rel_area,size_bucket
batch_10_000013.jpg,bottle,0.001505,tiny
batch_10_000013.jpg,bottle,0.002626,tiny
batch_10_000015.jpg,can,0.000223,tiny
batch_10_000015.jpg,can,0.000171,tiny
batch_10_000015.jpg,bottle,0.00069,tiny
batch_10_000015.jpg,bottle,0.001237,tiny
batch_10_000020.jpg,bag_wrapper,0.001873,tiny
batch_10_000020.jpg,cigarette,0.000121,tiny
batch_10_000020.jpg,cigarette,0.000185,tiny
batch_10_000020.jpg,cigarette,0.00011,tiny
batch_10_000020.jpg,cigarette,0.000725,tiny
batch_10_000020.jpg,cigarette,0.000266,tiny
batch_10_000020.jpg,cigarette,0.000178,tiny
batch_10_000020.jpg,cigarette,0.000278,tiny
batch_10_000020.jpg,cigarette,0.000197,tiny
batch_10_000020.jpg,cigarette,0.00023,tiny
batch_10_000020.jpg,cigarette,0.000286,tiny
batch_10_000031.jpg,carton,0.105705,medium
batch_10_000031.jpg,cigarette,0.000135,tiny
batch_10_000037.jpg,carton,0.000569,tiny
batch_10_000037.jpg,carton,0.001817,tiny
batch_10_000037.jpg,cigarette,4.1e-05,tiny
batch_10_000037.jpg,cigarette,3.6e-05,tiny
batch_10_000037.jpg,cigarette,0.000289,tiny
batch_10_000043.jpg,cigarette,0.000159,tiny
batch_10_000043.jpg,cigarette,0.000334,tiny
batch_10_000043.jpg,cigarette,0.000302,tiny
batch_10_000043.jpg,bag_wrapper,0.000207,tiny
batch_10_000043.jpg,bag_wrapper,0.002316,tiny
batch_10_000043.jpg,bag_wrapper,0.00934,tiny
batch_10_000043.jpg,bag_wrapper,0.003242,tiny
batch_10_000044.jpg,straw,0.003025,tiny
batch_10_000045.jpg,bottle_cap,0.000127,tiny
batch_10_000059.jpg,bag_wrapper,0.007575,tiny
batch_10_000064.jpg,cigarette,0.001386,tiny
batch_10_000067.jpg,bag_wrapper,0.003339,tiny
batch_10_000080.jpg,straw,0.001819,tiny
batch_10_000084.jpg,bag_wrapper,0.107901,medium
batch_10_000084.jpg,bag_wrapper,0.004175,tiny
batch_10_000086.jpg,bag_wrapper,0.013672,small
batch_10_000086.jpg,bottle,0.008433,tiny
batch_10_000086.jpg,cigarette,0.000249,tiny
batch_10_000086.jpg,cigarette,0.000318,tiny
batch_10_000086.jpg,cigarette,0.00024,tiny
batch_10_000089.jpg,cup,0.003365,tiny
batch_10_000089.jpg,cup,0.002216,tiny
batch_10_000090.jpg,bag_wrapper,0.002671,tiny
batch_10_000094.jpg,cup,0.001729,tiny
batch_10_000094.jpg,bottle_cap,0.00013,tiny
batch_10_000097.jpg,bottle_cap,0.000167,tiny
batch_10_000098.jpg,carton,0.175081,medium
batch_10_000098.jpg,carton,0.001631,tiny
batch_11_000001.jpg,carton,0.005285,tiny
batch_11_000004.jpg,carton,0.11228,medium
batch_11_000011.jpg,carton,0.181661,medium
batch_11_000011.jpg,carton,0.166605,medium
batch_11_000011.jpg,carton,0.046168,small
batch_11_000012.jpg,carton,0.455569,large
batch_11_000012.jpg,carton,0.066841,medium
batch_11_000028.jpg,bag_wrapper,0.072089,medium
batch_11_000028.jpg,bag_wrapper,0.015957,small
batch_11_000028.jpg,bag_wrapper,0.14637,medium
batch_11_000028.jpg,bag_wrapper,0.003718,tiny
batch_11_000028.jpg,bag_wrapper,0.013387,small
batch_11_000028.jpg,bag_wrapper,0.012612,small
batch_11_000028.jpg,bottle,0.035978,small
batch_11_000052.jpg,cup,0.054255,medium
batch_11_000065.jpg,bag_wrapper,0.010369,small
batch_11_000074.jpg,bag_wrapper,0.167497,medium
batch_11_000074.jpg,bag_wrapper,0.009149,tiny
batch_11_000074.jpg,bag_wrapper,0.006829,tiny
batch_11_000074.jpg,bag_wrapper,0.001581,tiny
batch_11_000074.jpg,bag_wrapper,0.000503,tiny
batch_11_000074.jpg,bag_wrapper,0.002951,tiny
batch_11_000091.jpg,cigarette,0.002175,tiny
batch_11_000094.jpg,bottle,0.209058,large
batch_12_000006.jpg,bottle_cap,0.033332,small
batch_12_000020.jpg,cigarette,0.000307,tiny
batch_12_000020.jpg,cup,0.010427,small
batch_12_000020.jpg,cigarette,0.000366,tiny
batch_12_000023.jpg,can,0.035178,small
batch_12_000030.jpg,bag_wrapper,0.009258,tiny
batch_12_000030.jpg,bag_wrapper,0.002056,tiny
batch_12_000030.jpg,bag_wrapper,0.000608,tiny
batch_12_000030.jpg,bag_wrapper,0.000289,tiny
batch_12_000043.jpg,can,0.002352,tiny
batch_12_000043.jpg,can,0.001683,tiny
batch_12_000043.jpg,bag_wrapper,0.002029,tiny
batch_12_000043.jpg,bag_wrapper,0.006063,tiny
batch_12_000043.jpg,carton,0.000496,tiny
batch_12_000043.jpg,bottle,0.004924,tiny
batch_12_000043.jpg,bottle_cap,0.000128,tiny
batch_12_000049.jpg,cup,0.017337,small
batch_12_000050.jpg,cigarette,0.000244,tiny
batch_12_000050.jpg,cigarette,7.2e-05,tiny
batch_12_000050.jpg,cigarette,0.000457,tiny
batch_12_000050.jpg,cigarette,0.000184,tiny
batch_12_000050.jpg,cigarette,0.000213,tiny
batch_12_000050.jpg,cigarette,0.00059,tiny
batch_12_000050.jpg,cigarette,7.5e-05,tiny
batch_12_000050.jpg,cigarette,0.000529,tiny
batch_12_000050.jpg,bottle_cap,0.000542,tiny
batch_12_000050.jpg,cigarette,0.000443,tiny
batch_12_000081.jpg,bag_wrapper,0.423262,large
batch_13_000014.jpg,bag_wrapper,0.00194,tiny
batch_13_000016.jpg,straw,0.000532,tiny
batch_13_000016.jpg,straw,0.125681,medium
batch_13_000020.jpg,straw,0.026741,small
batch_13_000020.jpg,bag_wrapper,0.003323,tiny
batch_13_000020.jpg,bag_wrapper,0.000617,tiny
batch_13_000021.jpg,straw,0.054316,medium
batch_13_000022.jpg,straw,0.035344,small
batch_13_000022.jpg,straw,0.023892,small
batch_13_000022.jpg,straw,0.000351,tiny
batch_13_000022.jpg,cup,0.048696,small
batch_13_000022.jpg,bag_wrapper,0.374717,large
batch_13_000027.jpg,can,0.225698,large
batch_13_000050.jpg,cigarette,0.017404,small
batch_13_000065.jpg,bag_wrapper,0.617498,large
batch_13_000080.jpg,bag_wrapper,0.589527,large
batch_14_000022.jpg,bag_wrapper,0.147965,medium
batch_14_000022.jpg,cup,0.015318,small
batch_14_000025.jpg,bottle,0.061719,medium
batch_14_000039.jpg,bottle,0.111077,medium
batch_14_000048.jpg,bottle,0.535251,large
batch_14_000048.jpg,bag_wrapper,0.170208,medium
batch_14_000057.jpg,bag_wrapper,0.102309,medium
batch_14_000065.jpg,bag_wrapper,0.054936,medium
batch_15_000000.jpg,cup,0.004524,tiny
batch_15_000000.jpg,cup,0.004828,tiny
batch_15_000000.jpg,can,0.001388,tiny
batch_15_000000.jpg,can,0.000876,tiny
batch_15_000002.jpg,straw,0.000273,tiny
batch_15_000023.jpg,straw,0.073954,medium
batch_15_000025.jpg,cigarette,0.000174,tiny
batch_15_000025.jpg,cigarette,0.000146,tiny
batch_15_000025.jpg,cigarette,0.000114,tiny
batch_15_000025.jpg,cigarette,0.000232,tiny
batch_15_000031.jpg,cigarette,0.000556,tiny
batch_15_000031.jpg,bag_wrapper,0.023669,small
batch_15_000056.jpg,bag_wrapper,0.032673,small
batch_15_000056.jpg,bag_wrapper,0.013823,small
batch_15_000057.jpg,bottle,0.119601,medium
batch_15_000057.jpg,bottle_cap,0.00317,tiny
batch_15_000073.jpg,bag_wrapper,0.102339,medium
batch_15_000073.jpg,bag_wrapper,0.033681,small
batch_15_000078.jpg,straw,0.005585,tiny
batch_15_000078.jpg,bag_wrapper,0.0779,medium
batch_15_000078.jpg,bag_wrapper,0.041014,small
batch_15_000078.jpg,bag_wrapper,0.021064,small
batch_1_000012.jpg,bag_wrapper,0.000305,tiny
batch_1_000016.jpg,bottle,0.032647,small
batch_1_000019.jpg,bottle,0.081017,medium
batch_1_000019.jpg,bottle,0.02535,small
batch_1_000019.jpg,bottle_cap,0.000359,tiny
batch_1_000060.jpg,can,0.187258,medium
batch_1_000110.JPG,can,0.003484,tiny
batch_2_000009.JPG,cup,0.100446,medium
batch_2_000009.JPG,straw,0.033127,small
batch_2_000029.JPG,can,0.011376,small
batch_2_000035.JPG,can,0.074074,medium
batch_2_000035.JPG,bag_wrapper,0.047473,small
batch_2_000035.JPG,bag_wrapper,0.026093,small
batch_2_000035.JPG,carton,0.018587,small
batch_2_000037.JPG,bottle,0.006087,tiny
batch_2_000038.JPG,cigarette,0.000108,tiny
batch_2_000038.JPG,cigarette,9.8e-05,tiny
batch_2_000042.JPG,cigarette,0.000127,tiny
batch_2_000050.JPG,cup,0.008519,tiny
batch_2_000050.JPG,straw,0.001398,tiny
batch_2_000050.JPG,cigarette,0.000399,tiny
batch_2_000050.JPG,cigarette,0.000198,tiny
batch_2_000050.JPG,cigarette,0.000435,tiny
batch_2_000050.JPG,cigarette,6.7e-05,tiny
batch_2_000051.JPG,bottle,0.001303,tiny
