image,predicted_class,confidence,best_iou_with_any_gt
batch_10_000043.jpg,bag_wrapper,0.4954,0.0
batch_10_000094.jpg,bag_wrapper,0.3991,0.0
batch_11_000094.jpg,bottle,0.2951,0.4704
batch_12_000043.jpg,bottle,0.3706,0.0
batch_12_000049.jpg,cup,0.2619,0.0
batch_13_000014.jpg,bottle_cap,0.2982,0.0
batch_13_000022.jpg,bag_wrapper,0.4995,0.1711
batch_13_000050.jpg,bottle,0.6707,0.0
batch_14_000064.jpg,can,0.3318,0.0
batch_15_000000.jpg,can,0.2521,0.0
batch_15_000025.jpg,bag_wrapper,0.4098,0.0
batch_15_000039.jpg,cup,0.5677,0.0
batch_15_000056.jpg,cup,0.3882,0.0
batch_15_000073.jpg,can,0.261,0.0
batch_1_000016.jpg,can,0.4306,0.1454
batch_1_000069.JPG,carton,0.3136,0.0
batch_1_000083.JPG,carton,0.3017,0.0
batch_1_000110.JPG,cup,0.2591,0.0
batch_1_000111.JPG,cup,0.338,0.0
batch_2_000009.JPG,can,0.391,0.0
batch_2_000029.JPG,bottle_cap,0.4168,0.0
batch_2_000035.JPG,can,0.261,0.1779
batch_2_000039.JPG,carton,0.3379,0.0
batch_2_000039.JPG,straw,0.2809,0.0
batch_2_000096.JPG,carton,0.3634,0.1341
batch_3_IMG_4859.JPG,bag_wrapper,0.4502,0.0
batch_3_IMG_4859.JPG,bottle,0.25,0.0
batch_3_IMG_4862.JPG,bag_wrapper,0.4327,0.0034
batch_4_000077.JPG,bag_wrapper,0.4449,0.0
batch_4_000088.JPG,carton,0.3771,0.0
batch_4_000097.JPG,bag_wrapper,0.5714,0.0
batch_5_000005.JPG,bag_wrapper,0.2593,0.0
batch_6_000013.JPG,cup,0.658,0.0
batch_7_000071.JPG,bag_wrapper,0.2543,0.0
batch_7_000078.JPG,carton,0.3851,0.4876
batch_7_000078.JPG,carton,0.3218,0.0
batch_7_000097.JPG,bottle,0.3513,0.0
