split,class_id,class,instances,precision,recall,f1,ap50,ap50_95
val,0,bag_wrapper,115,0.548045,0.295652,0.384097,0.297107,0.215482
val,1,bottle,56,0.661852,0.244842,0.357451,0.372136,0.25808
val,2,bottle_cap,36,0.45133,0.305556,0.364405,0.30943,0.238137
val,3,can,35,0.399,0.514286,0.449367,0.488683,0.376361
val,4,carton,33,0.402404,0.244974,0.304547,0.282252,0.236889
val,5,cigarette,80,0.82196,0.0125,0.024626,0.024264,0.019972
val,6,cup,26,0.395746,0.461538,0.426118,0.455935,0.358607
val,7,straw,24,0.494801,0.083333,0.142643,0.127658,0.089169
test,0,bag_wrapper,115,0.398478,0.330435,0.36128,0.287041,0.189942
test,1,bottle,52,0.424766,0.346154,0.381452,0.328104,0.224579
test,2,bottle_cap,36,0.429891,0.361111,0.392511,0.331613,0.194467
test,3,can,36,0.393391,0.468445,0.42765,0.354947,0.279677
test,4,carton,33,0.239708,0.272727,0.255154,0.169839,0.141329
test,5,cigarette,83,0.505383,0.012048,0.023535,0.057602,0.021384
test,6,cup,27,0.13506,0.185185,0.1562,0.137424,0.098607
test,7,straw,23,0.0,0.0,0.0,0.017465,0.012269
