category_id,name,supercategory,annotations,unique_images,pct_of_annotations,median_rel_area,min_rel_area,max_rel_area
59,Cigarette,Cigarette,667,227,13.945,0.000207,1e-05,0.131238
58,Unlabeled litter,Unlabeled litter,517,269,10.809,0.000788,1.1e-05,0.541707
36,Plastic film,Plastic bag & wrapper,451,310,9.429,0.007977,8.1e-05,0.768474
5,Clear plastic bottle,Bottle,284,224,5.938,0.009708,0.000225,0.710711
29,Other plastic,Other plastic,273,171,5.708,0.001531,3.8e-05,0.360433
39,Other plastic wrapper,Plastic bag & wrapper,260,184,5.436,0.005586,0.000134,0.583195
12,Drink can,Can,229,151,4.788,0.008297,5.6e-05,0.341225
7,Plastic bottle cap,Bottle cap,209,185,4.37,0.000866,3.1e-05,0.106089
55,Plastic straw,Straw,157,110,3.282,0.004529,2.3e-05,0.44565
9,Broken glass,Broken glass,138,15,2.885,0.000256,4.4e-05,0.124533
57,Styrofoam piece,Styrofoam piece,112,78,2.342,0.007841,7.4e-05,0.688728
21,Disposable plastic cup,Cup,104,91,2.174,0.008174,0.000435,0.30953
6,Glass bottle,Bottle,104,74,2.174,0.010513,0.000293,0.301701
50,Pop tab,Pop tab,99,71,2.07,0.000437,3.9e-05,0.053351
14,Other carton,Carton,93,79,1.944,0.01974,0.00036,0.546598
33,Normal paper,Paper,82,68,1.714,0.006286,0.00013,0.473841
8,Metal bottle cap,Bottle cap,80,55,1.673,0.001612,8.3e-05,0.095177
27,Plastic lid,Lid,77,69,1.61,0.007812,5.3e-05,0.717651
20,Paper cup,Cup,67,62,1.401,0.010427,0.00022,0.442888
17,Corrugated carton,Carton,64,41,1.338,0.072988,0.001631,0.941941
0,Aluminium foil,Aluminium foil,62,43,1.296,0.007584,0.0002,0.244932
40,Single-use carrier bag,Plastic bag & wrapper,61,49,1.275,0.025929,0.000306,0.692539
4,Other plastic bottle,Bottle,50,45,1.045,0.033901,0.000189,0.724048
16,Drink carton,Carton,45,41,0.941,0.006568,0.000388,0.200606
31,Tissues,Paper,42,36,0.878,0.009641,0.000327,0.350163
42,Crisp packet,Plastic bag & wrapper,39,35,0.815,0.01592,0.001619,0.234892
45,Disposable food container,Plastic container,38,37,0.794,0.023618,0.000324,0.38089
49,Plastic utensils,Plastic utensils,37,29,0.774,0.006871,0.00029,0.476984
10,Food Can,Can,34,20,0.711,0.05705,0.002849,0.290868
38,Garbage bag,Plastic bag & wrapper,31,20,0.648,0.065342,0.002294,0.335953
18,Meal carton,Carton,30,27,0.627,0.021131,0.003382,0.689246
51,Rope & strings,Rope & strings,29,28,0.606,0.014401,0.00017,0.272056
34,Paper bag,Paper bag,27,23,0.564,0.037691,0.001316,0.613069
52,Scrap metal,Scrap metal,20,12,0.418,0.005771,0.000518,0.296816
46,Foam food container,Plastic container,15,13,0.314,0.022715,0.001822,0.149741
22,Foam cup,Cup,13,11,0.272,0.023013,0.001107,0.062645
30,Magazine paper,Paper,12,5,0.251,0.035909,0.003714,0.1352
32,Wrapping paper,Paper,12,11,0.251,0.054928,0.001349,0.338522
15,Egg carton,Carton,11,9,0.23,0.030368,0.000406,0.448283
11,Aerosol,Can,10,10,0.209,0.113907,0.001136,0.187258
28,Metal lid,Lid,10,6,0.209,0.0242,0.001053,0.054043
43,Spread tub,Plastic container,9,9,0.188,0.010465,0.002366,0.404899
25,Food waste,Food waste,8,7,0.167,0.011089,0.000288,0.135328
53,Shoe,Shoe,7,6,0.146,0.01839,0.001834,0.193431
54,Squeezable tube,Squeezable tube,7,6,0.146,0.016794,0.003501,0.438807
2,Aluminium blister pack,Blister pack,6,6,0.125,0.022641,0.004481,0.050316
23,Glass cup,Cup,6,4,0.125,0.016201,0.007711,0.2483
26,Glass jar,Glass jar,6,4,0.125,0.101519,0.016634,0.118937
47,Other plastic container,Plastic container,6,6,0.125,0.003272,0.00062,0.035078
37,Six pack rings,Plastic bag & wrapper,5,4,0.105,0.032451,0.005707,0.071334
13,Toilet tube,Carton,5,3,0.105,0.015791,0.001298,0.040534
56,Paper straw,Straw,4,4,0.084,0.026241,0.011936,0.256477
48,Plastic glooves,Plastic glooves,4,4,0.084,0.017017,0.008731,0.020014
44,Tupperware,Plastic container,4,4,0.084,0.108129,0.003687,0.494828
19,Pizza box,Carton,3,3,0.063,0.134095,0.12813,0.181661
41,Polypropylene bag,Plastic bag & wrapper,3,3,0.063,0.127462,0.032453,0.245594
1,Battery,Battery,2,2,0.042,0.033805,0.008368,0.059242
24,Other plastic cup,Cup,2,2,0.042,0.011318,0.008549,0.014087
3,Carded blister pack,Blister pack,1,1,0.021,0.068539,0.068539,0.068539
35,Plastified paper bag,Paper bag,0,0,0.0,0.0,0.0,0.0
