epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.104,1.17682,9.65743,0.0126,0.34285,0.0425,0.04626,0.034,1.39144,7.8171,0.00806,0.000277051,0.000277051,0.000277051
2,953.804,1.23982,7.47378,0.01377,0.4078,0.09442,0.07925,0.05663,1.48054,6.06933,0.00856,0.000554441,0.000554441,0.000554441
3,1341.05,1.3084,5.73131,0.01544,0.28388,0.13544,0.10802,0.07732,1.63541,4.7377,0.01026,0.000830726,0.000830726,0.000830726
4,1759.33,1.35758,4.34555,0.0153,0.30049,0.21104,0.14125,0.10345,1.53734,4.06462,0.00946,0.000829268,0.000829268,0.000829268
5,2188.75,1.35709,3.63768,0.01575,0.25423,0.19519,0.12221,0.08852,1.53671,3.61395,0.00935,0.000826374,0.000826374,0.000826374
6,2578.21,1.33965,3.20736,0.0157,0.24393,0.23553,0.18067,0.12841,1.57314,3.21064,0.00984,0.000822662,0.000822662,0.000822662
7,2969.07,1.33833,2.94043,0.01631,0.21932,0.18372,0.1792,0.13037,1.61463,3.11727,0.01038,0.000818141,0.000818141,0.000818141
8,3350.4,1.31049,2.71736,0.01612,0.19577,0.21549,0.16889,0.12445,1.54347,3.08236,0.00903,0.000812819,0.000812819,0.000812819
9,3737.98,1.29765,2.59753,0.01527,0.35781,0.19462,0.1721,0.1236,1.53863,2.99749,0.00985,0.000806707,0.000806707,0.000806707
10,4122.24,1.34516,2.507,0.01544,0.23637,0.28998,0.21447,0.15519,1.58283,2.86807,0.00917,0.000799818,0.000799818,0.000799818
11,4510.14,1.30152,2.42848,0.01494,0.34583,0.28122,0.19952,0.14206,1.56334,2.86926,0.00972,0.000792166,0.000792166,0.000792166
12,4900.14,1.31356,2.36694,0.01567,0.31831,0.24829,0.20151,0.15011,1.48264,2.85791,0.00874,0.000783765,0.000783765,0.000783765
13,5301.18,1.30632,2.32405,0.01501,0.27916,0.2623,0.21389,0.15224,1.56199,2.76798,0.00992,0.000774633,0.000774633,0.000774633
14,5690.29,1.26189,2.23111,0.0147,0.4273,0.25164,0.23511,0.17032,1.58491,2.66459,0.00962,0.000764789,0.000764789,0.000764789
