epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.412,1.21924,6.40183,0.00756,0.00679,0.44887,0.03857,0.03062,1.18589,7.25438,0.00849,0.00027163,0.00027163,0.00027163
2,219.289,1.213,5.95214,0.00744,0.83472,0.01734,0.08425,0.05925,1.30768,6.90457,0.01033,0.000543859,0.000543859,0.000543859
3,321.855,1.30393,5.31937,0.00761,0.60546,0.09333,0.08631,0.05733,1.30148,6.50358,0.01062,0.00081059,0.00081059,0.00081059
4,431.24,1.28994,5.11045,0.00825,0.40551,0.13525,0.09633,0.06815,1.32005,6.19784,0.0106,0.00080826,0.00080826,0.00080826
5,526.156,1.31001,4.82863,0.00803,0.45141,0.16103,0.14563,0.1083,1.35127,5.84919,0.01143,0.000800013,0.000800013,0.000800013
6,615.97,1.30709,4.6728,0.00833,0.53493,0.15395,0.14849,0.10477,1.27095,5.61735,0.01039,0.000791767,0.000791767,0.000791767
7,701.643,1.26567,4.61795,0.00836,0.33752,0.13741,0.14425,0.10337,1.3838,5.42023,0.012,0.00078352,0.00078352,0.00078352
8,805.307,1.26845,4.40448,0.00873,0.33334,0.16389,0.15581,0.10905,1.35798,5.19039,0.01168,0.000775273,0.000775273,0.000775273
9,906.01,1.3343,4.18981,0.00775,0.29852,0.17025,0.1373,0.09733,1.34872,5.12742,0.01162,0.000767026,0.000767026,0.000767026
10,993.705,1.27926,3.96634,0.00777,0.28919,0.2335,0.17701,0.12934,1.3964,4.91893,0.01232,0.00075878,0.00075878,0.00075878
11,1087.91,1.28355,3.99601,0.00802,0.35414,0.20609,0.1864,0.12536,1.54911,4.79277,0.01462,0.000750533,0.000750533,0.000750533
12,1188.93,1.23269,3.73884,0.00798,0.34145,0.18784,0.19867,0.13803,1.44998,4.6211,0.01301,0.000742286,0.000742286,0.000742286
13,1291.16,1.24335,3.50666,0.0081,0.36094,0.22057,0.21569,0.15313,1.42441,4.46086,0.01277,0.00073404,0.00073404,0.00073404
14,1401.18,1.25723,3.4269,0.00762,0.3895,0.24205,0.23782,0.16425,1.42185,4.30395,0.01233,0.000725793,0.000725793,0.000725793
15,1515.66,1.27317,3.28864,0.0077,0.41049,0.21818,0.20136,0.13569,1.41769,4.27872,0.01362,0.000717546,0.000717546,0.000717546
16,1620.98,1.21309,3.15854,0.00719,0.31715,0.21677,0.19733,0.14083,1.39096,4.16737,0.01213,0.000709299,0.000709299,0.000709299
17,1709.55,1.1703,2.93762,0.00734,0.27627,0.23972,0.21113,0.15071,1.36219,4.1354,0.01211,0.000701053,0.000701053,0.000701053
18,1792.89,1.23088,2.94188,0.00742,0.37763,0.23762,0.23188,0.15709,1.47337,4.04816,0.01343,0.000692806,0.000692806,0.000692806
19,1875.21,1.1398,2.94339,0.00719,0.25537,0.24849,0.21489,0.14686,1.35216,3.80538,0.01194,0.000684559,0.000684559,0.000684559
20,1962.24,1.23877,2.62042,0.00713,0.32369,0.28402,0.25848,0.18196,1.43661,3.68913,0.01245,0.000676313,0.000676313,0.000676313
21,2047.28,1.21208,2.65319,0.00774,0.38654,0.27036,0.24667,0.17539,1.44394,3.75502,0.01323,0.000668066,0.000668066,0.000668066
22,2143.78,1.17731,2.57416,0.00702,0.37619,0.25511,0.23206,0.16621,1.40669,3.79457,0.01189,0.000659819,0.000659819,0.000659819
23,2224.93,1.21128,2.4511,0.0067,0.27377,0.29923,0.25148,0.17458,1.43548,3.65258,0.01216,0.000651573,0.000651573,0.000651573
