epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.884,1.36531,6.63466,0.00665,0.00373,0.48344,0.04069,0.03097,1.36863,7.42158,0.00734,0.000274713,0.000274713,0.000274713
2,404.092,1.34118,5.68724,0.00689,0.54853,0.12449,0.08381,0.05852,1.39657,6.75878,0.00828,0.000546911,0.000546911,0.000546911
3,567.221,1.42691,5.3835,0.00736,0.25086,0.12931,0.09977,0.06903,1.44455,6.06375,0.00843,0.000813611,0.000813611,0.000813611
4,745.419,1.44357,4.93318,0.00736,0.27085,0.14938,0.12544,0.08999,1.47499,5.478,0.00876,0.00080826,0.00080826,0.00080826
5,1079.97,1.4174,4.51385,0.0073,0.42652,0.16251,0.13597,0.09963,1.4425,4.96882,0.00862,0.000800013,0.000800013,0.000800013
6,1289.39,1.45989,4.15148,0.00695,0.32163,0.16833,0.13998,0.10591,1.43377,4.9343,0.00892,0.000791767,0.000791767,0.000791767
7,1502.39,1.40761,3.83236,0.00683,0.34294,0.2002,0.15536,0.11793,1.41388,4.45893,0.00806,0.00078352,0.00078352,0.00078352
8,1720.82,1.41581,3.69239,0.00709,0.4663,0.24616,0.19651,0.14906,1.4801,4.06413,0.00853,0.000775273,0.000775273,0.000775273
9,1929.6,1.421,3.41285,0.00741,0.46863,0.20088,0.18394,0.13114,1.42106,3.98992,0.00807,0.000767026,0.000767026,0.000767026
10,2145.49,1.38841,3.23827,0.00697,0.5121,0.22168,0.19911,0.149,1.41127,3.69374,0.00815,0.00075878,0.00075878,0.00075878
11,2369.28,1.38849,3.07444,0.00646,0.45803,0.22321,0.1931,0.1513,1.41897,3.6077,0.00847,0.000750533,0.000750533,0.000750533
12,2572.79,1.39064,2.92248,0.007,0.30542,0.25587,0.21431,0.15785,1.46639,3.46749,0.00851,0.000742286,0.000742286,0.000742286
13,2776.82,1.41896,2.82303,0.00685,0.35851,0.23245,0.2068,0.151,1.46409,3.63305,0.00838,0.00073404,0.00073404,0.00073404
14,591.488,1.39572,2.74625,0.00696,0.42795,0.22876,0.20273,0.15023,1.47647,3.48406,0.00879,0.000725793,0.000725793,0.000725793
15,800.112,1.32955,2.55499,0.00667,0.35011,0.26098,0.24671,0.1784,1.50339,3.13891,0.00879,0.000717546,0.000717546,0.000717546
16,1273.63,1.32233,2.47725,0.00664,0.50325,0.2369,0.24334,0.17944,1.4773,3.1607,0.00876,0.000709299,0.000709299,0.000709299
17,1898.2,1.34069,2.4396,0.00661,0.4023,0.23871,0.2431,0.18412,1.4471,3.10348,0.00844,0.000701053,0.000701053,0.000701053
18,2482.46,1.29916,2.36964,0.00629,0.26539,0.28962,0.24282,0.18209,1.44301,3.03263,0.00833,0.000692806,0.000692806,0.000692806
19,3026.41,1.33012,2.32404,0.00613,0.37049,0.26464,0.25955,0.19732,1.40622,3.02428,0.00824,0.000684559,0.000684559,0.000684559
20,3371.83,1.31598,2.21149,0.00619,0.52226,0.26998,0.29421,0.2237,1.43036,2.86011,0.00858,0.000676313,0.000676313,0.000676313
21,3687.91,1.32063,2.21274,0.00624,0.58385,0.22157,0.27763,0.21472,1.4432,2.85199,0.00806,0.000668066,0.000668066,0.000668066
22,4081.96,1.28404,2.12934,0.00625,0.60396,0.23227,0.26534,0.19557,1.46569,2.85597,0.00861,0.000659819,0.000659819,0.000659819
23,4435.81,1.29671,2.07375,0.0061,0.57856,0.22516,0.26877,0.20134,1.42995,2.87902,0.00816,0.000651573,0.000651573,0.000651573
24,5084.58,1.27809,2.03241,0.00574,0.38743,0.24274,0.24735,0.19353,1.41433,3.04179,0.00852,0.000643326,0.000643326,0.000643326
